"rk","player","pos","age","g","mp","per","tspercent","x3par","ftr","orbpercent","drbpercent","trbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","gs","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","pts","mvp","roy","dpoy","smoy","mip"
265,"John Salley","PF",24,67,1458,12.4,0.558,0.006,0.586,10.9,14.9,13,6.9,1.4,3,19.3,15.2,1.1,2.3,3.5,0.115,-0.9,2.9,2,1.5,21,2.5,5,0.498,0,0,0,2.5,4.9,0.502,0.498,2,2.9,0.692,2,3,5,1.1,0.6,1.1,1.5,2.9,7,0,0,0,0,0
266,"Ralph Sampson","C",28,61,1086,11.4,0.483,0.022,0.26,9.7,18.5,14.1,9,1.3,3.3,18.1,17.3,-0.3,1.4,1.1,0.048,-3.4,1.1,-2.4,-0.1,36,2.7,6,0.449,0,0.1,0.375,2.6,5.9,0.451,0.453,1,1.6,0.653,1.7,3.3,5,1.3,0.5,1.1,1.5,2.8,6.4,0,0,0,0,0
267,"Mike Sanders","SF",28,82,2102,10.5,0.482,0.014,0.184,5.6,10.6,8.2,8.8,2.1,0.9,11.6,18.1,0,3.1,3.1,0.071,-2.5,1,-1.5,0.3,82,4,8.9,0.453,0,0.1,0.3,4,8.8,0.455,0.455,1.2,1.6,0.719,1.2,2.5,3.7,1.6,1.1,0.4,1.3,2.8,9.3,0,0,0,0,0
268,"Danny Schayes","C",29,76,1918,15.4,0.618,0.015,0.662,7.2,20.3,13.4,6.9,1,2.4,17,18.8,3.2,2.4,5.6,0.141,-0.9,0.3,-0.6,0.7,64,4.2,8,0.522,0,0.1,0.333,4.1,7.9,0.525,0.525,4.4,5.3,0.826,1.9,4.7,6.6,1.4,0.6,1.1,2.1,4.2,12.8,0,0,0,0,0
269,"Russ Schoene","PF",28,69,774,12.1,0.479,0.315,0.163,8.1,16,11.9,6.4,2.3,1.9,11.4,21.7,0.4,0.9,1.3,0.078,-1.1,-1.1,-2.3,-0.1,1,2,5.1,0.387,0.6,1.6,0.382,1.3,3.5,0.389,0.447,0.7,0.8,0.807,0.8,1.6,2.4,0.5,0.5,0.3,0.7,2,5.2,0,0,0,0,0
270,"Detlef Schrempf","PF",26,69,1850,15.3,0.566,0.061,0.606,7.8,15.5,11.8,14,1.4,0.6,15.4,19.9,2.9,1.5,4.4,0.113,0.6,-0.1,0.6,1.2,13,4,8.4,0.474,0.1,0.5,0.2,3.9,7.9,0.492,0.48,4,5.1,0.78,1.8,3.9,5.7,2.6,0.8,0.3,1.9,3.2,12,0,0,0,0,0
271,"Byron Scott","SG",27,74,2605,16.6,0.558,0.161,0.189,3.3,9.2,6.5,13.1,2.1,0.6,10.8,23.1,4.1,2.6,6.8,0.125,1.8,-0.5,1.3,2.2,73,7.9,16.2,0.491,1,2.6,0.399,6.9,13.6,0.508,0.523,2.6,3.1,0.863,1,3.1,4.1,3.1,1.5,0.4,2.1,2.4,19.6,0,0,0,0,0
272,"Rony Seikaly","C",23,78,1962,10.8,0.471,0.005,0.476,11.2,20.5,15.7,4.4,1.1,3,18.2,22.8,-2.7,2.2,-0.5,-0.012,-5.2,-0.6,-5.7,-1.8,62,4.3,9.5,0.448,0,0.1,0.25,4.3,9.5,0.449,0.448,2.3,4.5,0.511,2.6,4.4,7,0.7,0.6,1.2,2.6,3.3,10.9,0,0,0,0,0
273,"Brad Sellers","PF",26,80,1732,10.6,0.529,0.013,0.212,5.9,9.2,7.6,7.7,1,2.4,12.2,14.7,1.3,1.4,2.6,0.073,-2.3,0.2,-2.1,0,25,2.9,6,0.485,0,0.1,0.5,2.9,5.9,0.485,0.488,1.1,1.3,0.851,1.1,1.8,2.8,1.2,0.4,0.9,0.9,2.2,6.9,0,0,0,0,0
274,"Charles Shackleford","C",22,60,484,13.9,0.501,0.006,0.25,11.1,24.4,17.6,6.5,1.5,2.2,12.6,18.1,0.2,0.6,0.8,0.076,-3,0.1,-3,-0.1,0,1.4,2.8,0.494,0,0,0,1.4,2.8,0.497,0.494,0.4,0.7,0.5,0.8,1.7,2.6,0.4,0.3,0.3,0.5,1.2,3.1,0,0,0,0,0
275,"John Shasky","C",24,65,944,12.7,0.555,0.008,0.673,11,16.8,13.8,3.4,0.7,0.8,12.5,15.8,1.2,0.7,1.9,0.097,-2.4,-2.1,-4.5,-0.6,4,1.9,3.8,0.488,0,0,0,1.9,3.8,0.492,0.488,1.8,2.6,0.689,1.5,2.1,3.6,0.3,0.2,0.2,0.7,1.4,5.5,0,0,0,0,0
276,"Brian Shaw","SG",22,82,2301,12.2,0.472,0.019,0.192,6,12.7,9.4,27,1.7,0.7,20.2,16.8,0.5,1.7,2.2,0.046,-0.8,0.4,-0.4,0.9,54,3.6,8.4,0.433,0,0.2,0,3.6,8.2,0.441,0.433,1.3,1.6,0.826,1.5,3.1,4.6,5.8,1,0.3,2.3,2.6,8.6,0,0,0,0,0
277,"Purvis Short","SF",31,65,1157,11.4,0.464,0.069,0.185,6.1,10.6,8.4,13.4,1.8,0.7,11.9,20.5,0,1.4,1.4,0.058,-2.1,-0.3,-2.5,-0.1,16,3,7.4,0.413,0.1,0.5,0.273,2.9,6.9,0.423,0.422,1.2,1.4,0.865,1,1.8,2.8,1.6,0.7,0.2,1.1,1.8,7.4,0,0,0,0,0
279,"Jack Sikma","C",33,80,2587,15.8,0.554,0.259,0.352,6.2,21.9,13.9,15.5,1.6,1.5,13.1,17.8,4.5,3.7,8.1,0.151,1.7,2,3.6,3.7,80,4.5,10.4,0.431,1,2.7,0.38,3.5,7.7,0.449,0.48,3.3,3.7,0.905,1.8,6,7.8,3.6,1.1,0.8,1.8,3.8,13.4,0,0,0,0,0
280,"Scott Skiles","PG",24,80,1571,12.5,0.54,0.17,0.326,1.6,8.5,5.3,34.2,2,0.1,25.9,18.2,0.5,0.8,1.3,0.04,-1.5,-2.2,-3.7,-0.7,13,2.5,5.5,0.448,0.3,0.9,0.267,2.2,4.6,0.485,0.471,1.6,1.8,0.903,0.3,1.6,1.9,4.9,0.8,0,2.2,1.9,6.8,0,0,0,0,0
282,"Charles Smith","PF",23,71,2161,15.6,0.55,0.003,0.448,8.6,14.4,11.5,6.9,1.4,2.3,12.2,21.8,2.4,1.6,4,0.089,-0.5,-0.7,-1.2,0.4,56,6.1,12.4,0.495,0,0,0,6.1,12.3,0.497,0.495,4,5.5,0.725,2.4,4.1,6.5,1.5,1,1.3,2.1,3.8,16.3,0,0,0,0,0
283,"Derek Smith","SG",27,65,1295,11.7,0.491,0.063,0.379,5.1,9.1,7.1,14.1,1.6,1,13.2,21.2,0.2,0.7,0.9,0.033,-1.6,-1.2,-2.8,-0.3,38,3.3,7.6,0.435,0.1,0.5,0.226,3.2,7.2,0.449,0.443,2,2.9,0.686,0.9,1.6,2.6,2,0.7,0.4,1.4,2.5,8.7,0,0,0,0,0
284,"Kenny Smith","PG",23,81,3145,14.3,0.523,0.108,0.302,1.6,6.1,3.9,29.2,1.5,0.1,15.7,20.7,2.8,1.3,4.1,0.062,0.3,-2,-1.7,0.2,81,6.8,14.6,0.462,0.6,1.6,0.359,6.2,13,0.475,0.482,3.2,4.4,0.737,0.6,2.2,2.8,7.7,1.3,0.1,3.1,2.1,17.3,0,0,0,0,0
285,"Larry Smith","PF",31,80,1897,11.9,0.54,0,0.146,14.4,19.9,17.2,7.6,1.4,1.6,20.7,10.6,1.4,2.3,3.7,0.094,-1,1.6,0.6,1.2,78,2.7,5,0.552,0,0,NA,2.7,5,0.552,0.552,0.2,0.7,0.31,3.4,4.8,8.2,1.5,0.8,0.7,1.4,3.1,5.7,0,0,0,0,0
286,"Otis Smith","SG",25,80,1597,14.8,0.495,0.052,0.305,8.1,12.6,10.3,11.8,2.5,1.4,13.7,22.3,0.7,1.8,2.5,0.074,-1.3,-0.1,-1.4,0.2,5,3.9,8.9,0.435,0.1,0.5,0.189,3.8,8.5,0.448,0.44,2.2,2.7,0.798,1.6,2.5,4.1,1.8,1.1,0.5,1.6,2.1,10,0,0,0,0,0
287,"Rik Smits","C",22,82,2041,15.6,0.557,0.001,0.342,10.7,16.2,13.6,5.2,0.9,4.3,13.2,20.3,2.4,1.9,4.3,0.101,-0.8,0.4,-0.4,0.8,71,4.7,9.1,0.517,0,0,0,4.7,9.1,0.518,0.517,2.2,3.1,0.722,2.3,3.8,6.1,0.9,0.5,1.8,1.6,3.8,11.7,0,0,0,0,0
289,"Rory Sparrow","PG",30,80,2613,11.7,0.486,0.075,0.109,2.3,7.2,4.6,25.6,1.9,0.4,16.5,19.2,0,1.6,1.6,0.029,-1.6,-1.3,-2.9,-0.6,79,5.6,12.3,0.452,0.2,0.9,0.243,5.3,11.4,0.469,0.461,1.2,1.3,0.879,0.7,2,2.7,5.4,1.3,0.2,2.6,2.1,12.5,0,0,0,0,0
293,"John Stockton","PG",26,82,3171,22.9,0.624,0.072,0.49,3.1,5.4,4.3,54.3,4.1,0.3,21.5,19.1,9.8,5.8,15.6,0.236,5,-0.2,4.8,5.5,82,6.1,11.3,0.538,0.2,0.8,0.242,5.9,10.5,0.561,0.547,4.8,5.5,0.863,1,2,3,13.6,3.2,0.2,3.8,2.9,17.1,0,0,0,0,0
294,"Rod Strickland","PG",22,81,1358,18,0.539,0.104,0.407,4.1,9.1,6.5,31.8,3.3,0.1,18.1,23.3,2.2,1.5,3.7,0.131,1.2,-0.7,0.5,0.9,10,3.3,7,0.467,0.2,0.7,0.322,3,6.3,0.484,0.484,2.1,2.9,0.745,0.6,1.3,2,3.9,1.2,0,1.8,1.8,8.9,0,0,0,0,0
297,"Jon Sundvold","SG",27,68,1338,12.6,0.506,0.136,0.084,1.5,6,3.7,17.6,1,0,11.1,23.9,0.6,0.4,1,0.037,-1.2,-3.9,-5.1,-1.1,8,4.5,9.9,0.455,0.7,1.4,0.522,3.8,8.6,0.444,0.49,0.7,0.8,0.825,0.3,1,1.3,2,0.4,0,1.3,1.1,10.4,0,0,0,0,0
300,"Terry Teagle","SF",28,66,1569,16.7,0.523,0.014,0.262,7,9.7,8.4,9,2.3,0.6,10.8,25.9,1.7,1.4,3.1,0.095,-0.3,-1.9,-2.2,-0.1,41,6.2,13,0.476,0,0.2,0.167,6.2,12.8,0.481,0.477,2.8,3.4,0.809,1.7,2.3,4,1.5,1.2,0.3,1.8,2.6,15.2,0,0,0,0,0
301,"Reggie Theus","SG",31,82,2517,16.1,0.534,0.054,0.314,3.7,6.9,5.2,23.2,2.1,0.4,13.8,22.8,3.9,2,5.9,0.113,1.7,-0.9,0.8,1.8,82,6.1,13,0.466,0.2,0.7,0.293,5.9,12.3,0.476,0.474,3.5,4.1,0.851,1,1.9,3,4.7,1.3,0.2,2.4,2.9,15.8,0,0,0,0,0
302,"Isiah Thomas","PG",27,80,2924,17.1,0.528,0.099,0.286,2,8.3,5.3,34.3,2.3,0.4,17.7,24.6,3.1,3.9,7,0.115,1.7,0.5,2.2,3.1,76,7.1,15.3,0.464,0.4,1.5,0.273,6.7,13.8,0.485,0.477,3.6,4.4,0.818,0.6,2.8,3.4,8.3,1.7,0.3,3.7,2.6,18.2,0,0,0,0,0
304,"Billy Thompson","SF",25,79,2273,13.4,0.524,0.006,0.313,11.5,17,14.1,11.8,1.2,2.8,18.8,17.9,0.6,2.3,2.8,0.06,-1.3,1.6,0.3,1.3,58,4.4,9.1,0.487,0,0.1,0,4.4,9,0.49,0.487,2,2.8,0.696,3.1,4.2,7.2,2.2,0.7,1.3,2.4,3.3,10.8,0,0,0,0,0
305,"LaSalle Thompson","C",27,76,2329,15.6,0.544,0.001,0.331,10.7,22.7,16.8,5.2,1.6,2.3,15.5,20.4,1.5,2.9,4.4,0.09,-1.7,0.5,-1.2,0.4,71,5.5,11.2,0.489,0,0,0,5.5,11.2,0.49,0.489,3,3.7,0.808,2.9,6.5,9.4,1.1,1,1.2,2.4,3.8,13.9,0,0,0,0,0
306,"Mychal Thompson","C",34,80,1994,13.3,0.593,0.002,0.441,9.4,16.2,13.1,3.2,1.4,1.7,13.5,14.9,2.8,2.4,5.2,0.126,-0.5,0.1,-0.3,0.8,8,3.6,6.5,0.559,0,0,0,3.6,6.5,0.56,0.559,2,2.9,0.678,2,3.9,5.8,0.6,0.7,0.7,1.2,2.8,9.2,0,0,0,0,0
308,"Otis Thorpe","PF",26,82,3135,15.4,0.591,0.002,0.468,9.5,17.6,13.6,9.3,1.2,0.7,16.3,17.7,4.6,4.1,8.7,0.133,1,1.2,2.2,3.3,82,6.4,11.7,0.542,0,0,0,6.4,11.7,0.543,0.542,4,5.5,0.729,3.3,6.3,9.6,2.5,1,0.5,2.7,3.2,16.7,0,0,0,0,0
309,"Sedale Threatt","PG",27,63,1220,16.3,0.533,0.063,0.162,2.8,8.1,5.4,27.5,3.3,0.2,13.1,19.2,2.3,1.2,3.4,0.135,1.4,-0.8,0.6,0.8,0,3.7,7.6,0.494,0.2,0.5,0.367,3.6,7.1,0.502,0.505,1,1.2,0.818,0.5,1.4,1.9,3.8,1.3,0.1,1.2,2.5,8.6,0,0,0,0,0
310,"Wayman Tisdale","PF",24,79,2434,17.5,0.568,0.004,0.396,8.6,18.6,13.7,8.3,1.1,1.2,12.4,23.7,3.9,2,5.9,0.117,0.3,-0.9,-0.6,0.8,35,6.7,13.1,0.514,0,0.1,0,6.7,13.1,0.516,0.514,4,5.2,0.773,2.4,5.3,7.7,1.6,0.7,0.7,2.2,3.7,17.5,0,0,0,0,0
314,"Kelly Tripucka","SF",29,71,2302,17.7,0.558,0.069,0.418,3.6,9.5,6.4,15.7,1.8,0.4,14.1,29.8,2.4,0.9,3.3,0.069,1.7,-1.7,0.1,1.2,65,8,17.1,0.467,0.4,1.2,0.357,7.6,15.9,0.476,0.48,6.2,7.2,0.866,1.1,2.6,3.8,3.2,1.2,0.2,3.3,2.8,22.6,0,0,0,0,0
315,"Trent Tucker","SG",29,81,1824,12.1,0.569,0.511,0.095,3.3,7.6,5.4,9.2,2.2,0.2,8.9,14.1,3.2,1.5,4.6,0.122,1.7,-0.6,1.1,1.4,24,3.2,7.1,0.454,1.5,3.7,0.399,1.8,3.5,0.512,0.556,0.5,0.7,0.782,0.7,1.5,2.2,1.6,1.1,0.1,0.7,2,8.5,0,0,0,0,0
317,"Elston Turner","SF",29,78,1746,7.8,0.446,0.02,0.159,6.1,11.1,8.5,9.5,2.3,0.3,13.7,9.6,0.2,1.9,2.1,0.056,-2.6,1.6,-1,0.4,12,1.9,4.5,0.428,0,0.1,0.286,1.9,4.4,0.431,0.431,0.4,0.7,0.589,1.4,2.3,3.7,1.8,1.2,0.1,0.8,2.7,4.3,0,0,0,0,0
318,"Terry Tyler","SF",32,70,1057,12.3,0.498,0.025,0.172,7.8,13.9,10.9,5.7,1.1,2.2,11.6,17.9,0.2,1,1.2,0.055,-2.9,-0.5,-3.4,-0.4,11,2.4,5.1,0.469,0,0.1,0.111,2.4,5,0.479,0.471,0.7,0.9,0.758,1.1,1.9,3,0.6,0.3,0.6,0.7,1.3,5.5,0,0,0,0,0
320,"Darnell Valentine","SG",29,77,1086,11.5,0.497,0.044,0.351,2.4,8,5.3,21.3,2.6,0.4,18.4,17.7,0.1,1.5,1.7,0.074,-2.9,0,-2.8,-0.2,4,1.8,4.1,0.426,0,0.2,0.214,1.7,4,0.436,0.431,1.2,1.5,0.813,0.3,1.1,1.3,2.3,0.7,0.1,1.1,1.1,4.8,0,0,0,0,0
323,"Sam Vincent","PG",25,70,1703,13.6,0.527,0.03,0.228,2.4,10.3,6.4,27.7,1.5,0.4,18.6,19.3,1,1.3,2.3,0.065,-1.6,-1.4,-3,-0.4,56,3.9,8.1,0.484,0,0.2,0.118,3.9,7.8,0.495,0.486,1.5,1.8,0.822,0.5,2.2,2.7,4.8,0.8,0.1,2,1.8,9.4,0,0,0,0,0
324,"Darrell Walker","PG",27,79,2565,13.4,0.469,0.013,0.27,5.5,16.5,10.8,25,2.9,0.5,19.5,14.8,0.5,3.3,3.7,0.07,-0.9,2.7,1.9,2.5,78,3.6,8.6,0.42,0,0.1,0,3.6,8.5,0.426,0.42,1.8,2.3,0.772,1.7,4.7,6.4,6.3,2,0.3,2.3,2.7,9,0,0,0,0,0
325,"Kenny Walker","SF",24,79,1163,11.8,0.533,0.056,0.239,9.4,12.6,11,3.9,1.6,2.2,10.1,14.6,1.5,1.2,2.7,0.112,-1.3,0,-1.3,0.2,2,2.2,4.5,0.489,0.1,0.3,0.25,2.1,4.3,0.503,0.496,0.8,1.1,0.776,1.3,1.6,2.9,0.5,0.5,0.6,0.6,2.4,5.3,0,0,0,0,0
327,"Spud Webb","PG",25,81,1219,13,0.504,0.076,0.207,1.8,9.3,5.5,31,2.8,0.3,20.8,13.3,0.9,1.3,2.2,0.088,-1.2,-0.6,-1.7,0.1,6,1.6,3.6,0.459,0,0.3,0.045,1.6,3.3,0.493,0.46,0.6,0.7,0.867,0.3,1.3,1.5,3.5,0.9,0.1,1,1.3,3.9,0,0,0,0,0
328,"Chris Welp","C",25,72,843,8.7,0.484,0.005,0.329,7.8,17.9,12.8,4.5,1.3,2.8,14.2,14.6,0,0.7,0.7,0.042,-3.5,0.2,-3.3,-0.3,0,1.4,3.1,0.446,0,0,0,1.4,3.1,0.448,0.446,0.7,1,0.658,0.8,1.9,2.7,0.4,0.3,0.6,0.6,2.4,3.4,0,0,0,0,0
329,"Bill Wennington","C",25,65,1074,8.8,0.482,0.033,0.298,8.5,20.7,14.7,6,0.7,1.9,14.8,14.7,0,1.2,1.3,0.056,-3.8,0.1,-3.7,-0.5,9,1.8,4.2,0.433,0,0.1,0.111,1.8,4.1,0.444,0.435,0.9,1.3,0.744,1.3,3.1,4.4,0.7,0.2,0.5,0.8,3.2,4.6,0,0,0,0,0
330,"Mark West","C",28,82,2019,12.9,0.644,0,0.543,9.2,19.4,14.5,2.3,0.8,5.1,18.3,11.1,2.2,3.3,5.5,0.131,-1,3,2.1,2.1,32,3,4.5,0.653,0,0,NA,3,4.5,0.653,0.653,1.3,2.5,0.535,2,4.7,6.7,0.5,0.4,2.3,1.3,3.3,7.2,0,0,0,0,0
334,"Jerome Whitehead","C",32,57,622,6.9,0.432,0,0.258,8.3,15.6,11.8,4,1.7,0.4,10.6,14.2,-0.2,0.6,0.4,0.032,-4.9,-1.3,-6.2,-0.7,4,1.3,3.2,0.396,0,0,NA,1.3,3.2,0.396,0.396,0.5,0.8,0.66,0.9,1.5,2.4,0.3,0.4,0.1,0.4,2,3.1,0,0,0,0,0
336,"Dominique Wilkins","SF",29,80,2997,21.8,0.528,0.06,0.298,9.2,11,10,11.9,1.9,1,8.4,29.4,7.5,2.9,10.4,0.166,3.6,-0.9,2.6,3.5,80,10.2,22,0.464,0.4,1.3,0.276,9.8,20.6,0.475,0.472,5.5,6.6,0.844,3.2,3.7,6.9,2.6,1.5,0.7,2.3,1.7,26.2,0,0,0,0,0
337,"Eddie Lee Wilkins","C",26,71,584,10.2,0.492,0.004,0.453,13.4,14.8,14.1,1.6,0.8,1.6,16,23.2,-0.2,0.5,0.3,0.023,-4.8,-3.9,-8.7,-1,2,1.6,3.5,0.465,0,0,0,1.6,3.4,0.467,0.465,0.9,1.6,0.55,1,1.1,2.1,0.1,0.1,0.2,0.8,1.5,4.1,0,0,0,0,0
338,"Gerald Wilkins","SG",25,81,2414,13.8,0.512,0.168,0.24,4.3,7,5.6,15.3,2.2,0.5,13,20.9,2.4,1.9,4.3,0.086,0.1,-0.7,-0.5,0.9,58,5.7,12.7,0.451,0.6,2.1,0.297,5.1,10.5,0.482,0.476,2.3,3,0.756,1.2,1.8,3,3.4,1.4,0.3,2.1,2,14.3,0,0,0,0,0
339,"Buck Williams","PF",28,74,2446,14.6,0.569,0.004,0.456,11,21,15.8,4.6,1.2,0.9,14.4,16.5,3,2.1,5.2,0.101,-0.5,0.2,-0.4,1,72,5,9.5,0.531,0,0,0,5,9.4,0.534,0.531,2.9,4.3,0.666,3.4,6,9.4,1.1,0.8,0.5,1.9,3,13,0,0,0,0,0
340,"Herb Williams","C",30,76,2470,10.6,0.471,0.007,0.263,6.3,19.7,13.3,7.1,0.9,3.2,15.3,16.6,-1.2,2.6,1.4,0.027,-3.7,1.7,-2,0,66,4.2,9.7,0.436,0,0.1,0,4.2,9.7,0.439,0.436,1.8,2.6,0.686,1.8,6,7.8,1.6,0.6,1.8,2,3.1,10.2,0,0,0,0,0
341,"Hot Rod Williams","PF",26,82,2125,17.6,0.566,0.006,0.449,9.7,15.3,12.7,7.2,1.8,3.6,10.8,18.8,3.8,3.8,7.7,0.173,0.2,2.2,2.4,2.4,10,4.3,8.5,0.509,0,0,0.25,4.3,8.5,0.51,0.509,2.9,3.8,0.748,2.1,3.7,5.8,1.3,0.9,1.6,1.2,2.3,11.6,0,0,0,0,0
342,"John Williams","SF",22,82,2413,18.8,0.525,0.076,0.309,6.9,19.6,13,20.9,2.8,1.7,12.8,20.4,3.3,3.5,6.9,0.136,1.8,2.8,4.6,4,1,5.3,11.5,0.466,0.2,0.9,0.268,5.1,10.6,0.482,0.476,2.7,3.5,0.776,1.9,5.1,7,4.3,1.7,0.9,1.9,2.6,13.7,0,0,0,0,0
345,"Reggie Williams","SF",24,63,1303,12.1,0.496,0.175,0.205,5.8,8.9,7.3,11.5,2.9,1.2,15,23,-0.6,1,0.4,0.014,-1.6,-0.8,-2.4,-0.1,17,4.1,9.4,0.438,0.5,1.7,0.288,3.7,7.8,0.469,0.463,1.5,1.9,0.754,1.1,1.7,2.8,1.6,1.3,0.5,1.8,2.9,10.2,0,0,0,0,0
347,"Randy Wittman","SF",29,64,1120,8.7,0.479,0.021,0.143,2.7,5.1,3.9,13.5,1,0.1,9.5,12.4,0.6,0.2,0.7,0.031,-2.7,-1.7,-4.4,-0.7,13,2,4.5,0.455,0,0.1,0.5,2,4.4,0.454,0.46,0.4,0.6,0.683,0.4,0.8,1.3,1.7,0.4,0,0.5,0.7,4.5,0,0,0,0,0
348,"Joe Wolf","C",24,66,1450,7,0.449,0.035,0.159,6.1,13.8,10,10.1,1,0.6,17.9,14.3,-1.1,0.7,-0.5,-0.016,-4.4,-0.5,-4.9,-1.1,15,2.6,6.1,0.423,0,0.2,0.143,2.5,5.9,0.433,0.425,0.7,1,0.688,1.3,2.8,4.1,1.7,0.5,0.2,1.4,2.3,5.8,0,0,0,0,0
350,"Mike Woodson","SG",30,81,2259,12,0.503,0.095,0.253,2.5,6.8,4.6,13.5,1.9,0.5,11.6,20.9,1.1,2.3,3.5,0.074,-1.2,-0.8,-2,0,79,5.1,11.6,0.438,0.4,1.1,0.348,4.7,10.5,0.447,0.455,2.4,2.9,0.823,0.6,1.8,2.4,2.5,1.1,0.2,1.7,2.4,12.9,0,0,0,0,0
351,"Orlando Woolridge","SF",29,74,1491,14,0.554,0.002,0.694,6.5,13.2,10.1,5.2,1,2.5,13.8,20.7,1.7,1.6,3.3,0.105,-2,-0.8,-2.8,-0.3,0,3.1,6.7,0.468,0,0,0,3.1,6.7,0.469,0.468,3.4,4.6,0.738,1.1,2.6,3.6,0.8,0.4,0.9,1.4,1.8,9.7,0,0,0,0,0
352,"James Worthy","SF",27,81,2960,19,0.582,0.018,0.25,6.8,11.3,9.2,14.6,1.7,1.1,11.3,22.4,6.6,3.1,9.7,0.158,2.8,0.3,3.1,3.8,81,8.7,15.8,0.548,0,0.3,0.087,8.6,15.5,0.556,0.548,3.1,4,0.782,2.1,4,6,3.6,1.3,0.7,2.2,2.2,20.5,0,0,0,0,0
